level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,ARM_657,Armed Organization,,,,,,,SDN,Sudan,657,Sudan People's Liberation Army,SPLA,SPLA | SPLA / M Bor Group | SPLA / M Nuba Mountains Central Committee | SPLA Division | Sudan People ’s Liberation Army - North
old,ARM_658,Armed Organization,,,,,,,SOM,Somalia,658,United Western Somali Liberation Front,UWSLF,
old,POL_659,Political Party,,,,,,,COL,Colombia,659,Communist Party of Colombia (Marxist–Leninist),,
old,POL_661,Political Party,,,,,,,COL,Colombia,661,National Salvation Movement,,
old,POL_662,Political Party,,,,,,,COL,Colombia,662,Colombian Conservative Party,,
old,OTH_663,Other,,,,,1,,COL,Colombia,663,Hope for Peace and Freedom,,
old,OTH_664,Other,,,,,1,,COL,Colombia,664,Peace Facilitation Commission,,
old,ARM_665,Armed Organization,,,,,,,COL,Colombia,665,Jaime Bateman Cayón Movement,JCB Movement,
old,OTH_666,Other,,,,,1,,COL,Colombia,666,Facilitating and Verification Commission,,
old,ARM_667,Armed Organization,,,,,,,COL,Colombia,667,MIR-COAR,MIR-COAR,El Movimiento Independiente Revolucionario-Comandos Armados | Revolutionary Independent Movement-Armed Commands
old,CON_668,Country/State,,,,,,,TTO,Trinidad and Tobago,668,Trinidad and Tobago,TRI,Trinidad and Tobago | TRINIDAD AND TOBAGO | TRINIDAD
old,CON_669,Country/State,,,,,,, ,Holy See,669,Vatican City,PAP,Papal States | HOLY SEE (VATICAN CITY STATE) | VATICAN CITY | Vatican City | Pope | Holy See
old,CON_670,Country/State,,,,,,,PAN,Panama,670,Panama,PAN,Panama | PANAMA | PANAMA
old,OTH_671,Other,,,,,1,,LKA,Sri Lanka,671,Central Bank of Sri Lanka,,
old,IGO_672,Intergovernmental Organization,,,1,,,United Nations,,,672,UN Office on Drugs and Crimes,UNODC,UN Office Drugs Crimes ( UNODC | UN Office on Drugs and Crimes | United Nations Office on Drugs and Crime
old,IGO_673,Intergovernmental Organization,,,1,,,United Nations,,,673,World Food Program,WFP,World Food Program | WFP | World Food Programme | World Food Programme | WFP | World Food Program | World Food Program  |  WFP  |  World Food Programme
old,IGO_674,Intergovernmental Organization,,,1,,,United Nations,,,674,United Nations Population Fund,UNFPA,United Nations Population Fund | 
old,IGO_675,Intergovernmental Organization,,,1,,,United Nations,,,675,International Organization for Migration,IOM,International Organisation For Migration | Organización Internacional para las Migraciones | OIM|International Organization For Migration | Organisation Internationale Pour Les Migrations |  International Organization For Migration  |  Organisation Internationale Pour Les Migrations
old,IGO_676,Intergovernmental Organization,,,1,,,United Nations,,,676,Food and Agriculture Organization,FAO,Food And Agriculture Organisation || Organisation Des Nations Unies Pour Lâ€™Alimentation Et Lâ€™Agriculture || Food And Agriculture Organization || ONUAA || FAO |  Organisation Des Nations Unies Pour LÃ¢â‚¬â„¢Alimentation Et LÃ¢â‚¬â„¢Agriculture  |  Food And Agriculture Organization  |  ONUAA  |  FAO | Food & Ag Org
old,IGO_677,Intergovernmental Organization,,,1,,,United Nations,,,677,World Health Organization,WHO,WHO | World Health Organization | World Health Organisation |  World Health Organization  |  World Health Organisation | World Health Org | World Health Organization
old,IGO_678,Intergovernmental Organization,,,1,,,United Nations,,,678,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"UNESCO | United Nations Educational, Scientific And Cultural Organization || United Nations Educational, Scientific And Cultural Organisation |  United Nations Educational, Scientific And Cultural Organization  |  United Nations Educational, Scientific And Cultural Organisation | UN Education, Scientific, & Cultural Org | United Nations Educational, Scientific, and Cultural Organization (UNESCO)"
old,IGO_679,Intergovernmental Organization,,,1,,,,,,679,International Fund for Agricultural Development (IFAD),IFAD,Int Fund for Agriculture & Development | International Fund for Agricultural Development (IFAD)
old,IGO_680,Intergovernmental Organization,,,,1,,,,,680,Asian Productivity Organization,APO,Asian Productivity Organisation | Asian Productivity Organization | Asian Productivity Organisation
old,IGO_681,Intergovernmental Organization,,,1,,,,,,681,Multilateral Investment Guarantee Agency (MIGA),MIGA,Multilateral Investment Guarantee Agency | Multilateral Investment Guarantee Agency (MIGA)
old,ENT_682,Entity,,,,,,, ,Czechoslovakia,682,Czechoslovakia,,
old,NGO_683,Civil Society,Non-governmental Organization,Other,,,1,,SSD,South Sudan,683,Civil Society,,
old,POL_684,Political Party,,,,,,,SSD,South Sudan,684,Political Parties,,
old,NGO_685,Civil Society,Religious,,,,1,,SSD,South Sudan,685,Religious Representatives,,
old,OTH_686,Other,,,,,1,,IDN,Indonesia,686,Monitoring Team of Security Modality,,
old,ARM_687,Armed Organization,,,,,,,BIH,Bosnia and Herzegovina,687,Republic of Serb Krajina,,
old,COA_688,State Coalition,,,1,,,,,,688,Group of Eight,G8,
old,POL_689,Political Party,,,,,,,DZA,Algeria,689,Political Parties,,
old,OTH_690,Other,,,,,1,,DZA,Algeria,690,National Organizations,,
old,NGO_691,Civil Society,Non-governmental Organization,Women,,,1,,DZA,Algeria,691,Women's Groups,,
old,ARM_692,Armed Organization,,,,,,,TGO,Togo,692,Convention of the New Forces,CFN,
old,POL_693,Political Party,,,,,,,TGO,Togo,693,Party of the pure-Action on Development,PAD,
old,POL_694,Political Party,,,,,,,TGO,Togo,694,Union for the Democracy and Solidarity,UDS,
old,POL_695,Political Party,,,,,,,TGO,Togo,695,Democratic party pure Unite,PDU,
old,POL_696,Political Party,,,,,,,TGO,Togo,696,Party for Democracy and Renewal,PDR,
old,POL_697,Political Party,,,,,,,TGO,Togo,697,Togolese Union for Democracy,UTD,
old,POL_698,Political Party,,,,,,,TGO,Togo,698,Convention African Peoples Democratic,FDC,
old,ARM_699,Armed Organization,,,,,,,IRL,Ireland,699,Irish Republican Army,IRA, Irish Republican Army
old,UMB_700,Umbrella,,,,,,,GBR,United Kingdom,700,Combined Loyalist Military Command,CLMC,
old,ARM_701,Armed Organization,,,,,,,LBN,Lebanon,701,Free Patriotic Movement,FPM,
old,POL_702,Political Party,,,,,,,TGO,Togo,702,Panafrican Patriotic Convention,CPP,
old,NGO_703,Civil Society,Non-governmental Organization,Other,1,,1,,TGO,Togo,703,African Female Ministers and Parliamentarians Network,,
old,NGO_704,Civil Society,Non-governmental Organization,Women,,,1,,TGO,Togo,704,"Group for Reflexion and Action on Women, Democracy and Development",,
